,count_dev,count_val,%missing_dev,%missing_val,mean_dev,mean_val,std_dev,std_val,unique_val_dev,unique_val_val
Application_id,32566.0,6149.0,0.0,0.0,116283.5,203075.0,9401.138769673953,1775.207734322944,,
vantage_score,32566.0,6149.0,0.0,0.0,564.6723883805196,563.2593917710196,35.52845882971902,42.7758514373265,,
g106s,32566.0,6149.0,0.0,0.0,218.2023275809126,203.1048951048951,116.84367294802985,109.4085383323845,,
at104s,32566.0,6149.0,0.0,0.0,41.79681262666585,35.914295007318266,27.41823432393789,26.465460462767698,,
of20s,32566.0,6149.0,0.0,0.0,59.28600380765215,61.79297446739307,58.64676536684982,58.76271088080705,,
in57s,32566.0,6149.0,0.0,0.0,112.81225818338145,92.13986013986013,1442.9797226247622,581.726146609134,,
re35s,32566.0,6149.0,0.0,0.0,981.2001473929865,1100.7758985200846,2882.989055505354,2733.36177473914,,
of36s,32566.0,6149.0,0.0,0.0,749.3931707916232,732.5179704016913,427.1463933937146,436.4138148275415,,
in34s,32566.0,6149.0,0.0,0.0,87.33845114536634,83.45991218084241,17.50360590296171,18.265381608779556,,
of34s,32566.0,6149.0,0.0,0.0,87.24212368728121,85.94698324930883,14.648993988151876,16.23311753290869,,
at36s,32566.0,6149.0,0.0,0.0,149.8019406743229,119.67441860465117,349.04473311930656,316.44345057968354,,
agg901,32566.0,6149.0,0.0,0.0,1.3418289013081128,1.294194177915108,0.8647303956533726,0.8629965056678881,,
at06s,32566.0,6149.0,0.0,0.0,2.3412147638641527,1.9637339404781264,1.765166313858958,1.4405883654829728,,
cv14,32566.0,6149.0,0.0,0.0,5.256463796597679,4.859651975931046,5.268891389161089,4.743791608498232,,
s004s,32566.0,6149.0,0.0,0.0,51.03144383713075,52.55813953488372,28.801121773830406,27.836234726466778,,
g237s,32566.0,6149.0,0.0,0.0,2.0111158877356754,1.4703203772971214,3.8005469478320975,3.139300939470179,,
mt20s,32566.0,6149.0,0.0,0.0,33.17318675919671,41.71540087819157,61.741769984403135,67.03928769695352,,
at21s,32566.0,6149.0,0.0,0.0,3.5088435791930235,5.478939664986177,35.8019026129803,55.33648258541787,,
fi34s,32566.0,6149.0,0.0,0.0,24.699134066204017,19.343145226866156,40.09962877279889,36.17014112820284,,
g208s,32566.0,6149.0,0.0,0.0,72.38374378185839,68.6249796714913,35.09016674306546,37.03461867413679,,
g001s,32566.0,6149.0,0.0,0.0,1.867377018976847,2.3759960969263294,3.248139938705602,3.826097272117333,,
g206s,32566.0,6149.0,0.0,0.0,393.2373641220905,680.4002276792975,953.710862305732,12820.053316151185,,
g218a,32566.0,6149.0,0.0,0.0,0.2604863968556163,0.2813465604163279,0.6132097693810477,0.633235648254162,,
s114s,32566.0,6149.0,0.0,0.0,1.0063256156727876,0.7032037729712148,2.5006106849593532,2.2183707939504287,,
bc34s,32566.0,6149.0,0.0,0.0,48.87686544248603,44.055293543665634,49.89507130008603,50.96745105501555,,
au36s,32566.0,6149.0,0.0,0.0,419.38389731621936,408.4982924052691,486.12643658314386,484.1509170498054,,
bc103s,32566.0,6149.0,0.0,0.0,1246.988362095437,1426.7427223938853,2347.657315956507,2590.2708176460374,,
of57s,32566.0,6149.0,0.0,0.0,14.30292329423325,20.43275329321841,320.5884133498843,244.65564059084323,,
cv24,32566.0,6149.0,0.0,0.0,149.56190505435117,160.90616360383802,684.2933028509873,594.3750804951894,,
bc02s,32566.0,6149.0,0.0,0.0,1.192501381809249,1.0731826313221662,2.212815352382187,2.009050270382512,,
aggs904,32566.0,6149.0,0.0,0.0,822.9371737394829,674.0478126524638,2082.642846944106,1558.3735314185765,,
aggs902,32566.0,6149.0,0.0,0.0,1487.6889086777621,1179.726784843064,4003.6928936946256,2769.487568397662,,
of21s,32566.0,6149.0,0.0,0.0,3.8154209912178345,5.735078874613758,35.79298321802162,55.32306701750734,,
at35b,32566.0,6149.0,0.0,0.0,4597.312319597126,4389.983411936901,4114.6555226143,3850.4189744545915,,
br21s,32566.0,6149.0,0.0,0.0,25.785144015230607,30.3546918198081,49.523274899007795,62.07553510636228,,
agg908,32566.0,6149.0,0.0,0.0,3916.9582079469387,4669.745812327208,8492.628718272015,9599.733392674345,,
bc06s,32566.0,6149.0,0.0,0.0,0.0015967573542958913,-0.060335013823385915,0.8249137129220565,0.6222683584021428,,
g990s,32566.0,6149.0,0.0,0.0,2.8019406743229136,2.2790697674418605,3.952017279283149,3.4847729992156014,,
of02s,32566.0,6149.0,0.0,0.0,2.18037216729104,2.0744836558790047,1.3846618042966232,1.2906932821559027,,
in21s,32566.0,6149.0,0.0,0.0,3.709267334029356,5.632135306553911,35.79556113448789,55.32807735202448,,
s209s,32566.0,6149.0,0.0,0.0,11.399557821040348,12.358757521548219,39.15822268983102,57.33373827044879,,
g205s,32566.0,6149.0,0.0,0.0,1002.5881287232082,985.5278907139373,12531.829834224853,2357.711652206234,,
re20s,32566.0,6149.0,0.0,0.0,94.91957870171345,104.33550170759473,90.57103494749722,89.3162041841214,,
g980s,32566.0,6149.0,0.0,0.0,1.5206964318614506,1.195641567734591,2.7875903997182627,2.514358350961271,,
cv26,32566.0,6149.0,0.0,0.0,12.32776515384143,12.343958367214181,11.94730411795995,11.401394235340353,,
cv21,32566.0,6149.0,0.0,0.0,33172.50368482467,2178.03301349813,5541376.759462056,12151.960788433564,,
au20s,32566.0,6149.0,0.0,0.0,63.85702880304612,64.54756871035941,55.1487193644511,53.15184196727357,,
trv01,32566.0,6149.0,0.0,0.0,113.53632622981023,113.14831679947959,314.6739047729175,313.2050829684086,,
